Id;Designator;Package;Quantity;Designation;Supplier and ref
1;C1,C3;C_Rect_L4.0mm_W2.5mm_P2.50mm;2;1uF;
2;Q1;TO-92_Inline;1;BC548;
3;R4,R5;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;330;
4;R1;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;33k;
5;R3;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;3.3k;
6;R2;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;10k;
7;J3;PinHeader_1x02_P2.54mm_Vertical;1;Uiz;
8;C2;C_Rect_L4.0mm_W2.5mm_P2.50mm;1;10uF;
9;J1;PinHeader_1x02_P2.54mm_Vertical;1;Power_Supply;
10;J2;PinHeader_1x02_P2.54mm_Vertical;1;Uie;
